,Parts,,,,,,,,,,
Model,Screen,,Battery,,Back Glass,Charge Port,Back Camera,Earpiece Speaker,Loud Speaker,Buttons,Camera Lens
,Cheap,Expensive,Cheap,Expensive,,,,,,,
X,16,69,13,16,52,8,15,2,2,7,3
Xr,17,25,11,15,41,9,22,3,4,4,3
Xs,16,78,13,22,56,13,25,6,2,7,3
Xs Max,20,56,13,20,73,14,25,3,6,13,6
11,15,33,12,17,51,9,19,5,4,10,3
11 Pro,18,,13,22,57,27,41,,,,
11 Pro Max,26,54,15,23,53,56,41,,,,
12 Mini,21,,,19,,11,47,,,,
12,19,78,11,19,51,11,22,6,4,5,2
12 Pro,19,78,11,19,62,11,97,,,,
12 Pro Max,21,65,14,25,66,22,78,,,,
13 Mini,21,,,19,,17,20,,,,
13,21,68,13,23,40,15,20,5,9,6,2
13 Pro,,78,15,25,63,21,96,,,,
13 Pro Max,,,18,30,71,20,96,,,,
14,21,68,15,24,10,15,48,10,5,12,4
14 Plus,,71,15,23,10,15,65,,,,
14 Pro,,73,18,28,76,22,82,,,,
14 Pro Max,,71,20,30,78,23,65,,,,
15,23,69,16,28,12,17,45,,,,
15 Plus,,,,,11,21,44,,,,
15 Pro,,111,19,31,13,22,91,,,,
15 Pro Max,,,,,13,22,76,,,,
